date,open,high,low,close,volume
2019-01-02,109.2775,109.4907,107.6997,108.9534,6986809
2019-01-03,109.2817,109.3969,106.915,107.2221,8654665
2019-01-04,108.4161,109.721,108.0835,109.0216,8831952
2019-01-05,108.851,109.4643,108.1406,108.3223,8403540
2019-01-06,109.3201,111.2988,108.9363,110.8382,9351190
2019-01-07,110.7273,111.077,109.448,109.9598,7402927
2019-01-08,108.9022,110.7785,108.9022,110.625,6224419
2019-01-09,110.0195,110.7359,109.431,110.6591,5300666
2019-01-10,109.7977,109.9853,108.8167,109.4054,7374382
2019-01-11,109.6101,110.4374,108.8681,110.3265,5192140
2019-01-12,110.3691,110.3691,109.0813,109.2007,6233819
2019-01-13,108.9193,110.4629,108.7084,110.0962,7461677
2019-01-14,110.787,111.8787,110.4032,111.4608,10592972
2019-01-15,109.3372,110.4467,108.3223,109.8489,10568128
2019-01-16,109.593,110.2753,109.1069,109.8489,9267966
2019-01-17,109.5845,109.7636,106.608,108.3393,9917100
2019-01-18,109.2775,109.5504,108.4672,109.3628,7585947
2019-01-19,109.0045,110.1474,108.5611,110.0109,6927621
2019-01-20,109.9768,111.2732,109.593,111.1538,6667879
2019-01-21,111.1879,112.7401,111.1282,112.271,7299435
2019-01-22,112.2625,115.2987,111.6143,113.4991,17298062
2019-02-01,114.3008,114.8723,113.8318,114.4544,9551246
2019-02-04,114.2497,114.4117,112.7572,113.3286,7758843
2019-02-05,113.8744,114.1814,113.2177,113.3286,6364703
2019-02-06,113.4991,113.9128,112.8339,113.4309,5066244
2019-02-07,112.9618,113.1239,112.1772,112.6207,6084783
2019-02-08,112.5354,112.9704,112.1857,112.9192,4436718
2019-02-11,112.8424,113.1495,111.9469,112.578,4962617
2019-02-12,112.6463,114.5396,112.6463,114.4202,6238268
2019-02-13,114.3435,115.1196,113.61,114.6676,7730215
2019-02-14,114.5396,114.9831,113.7294,114.5482,3910432
2019-02-15,115.2987,116.3392,115.1452,116.3136,6662827
2019-02-19,116.1089,116.3136,115.6739,115.7251,5935948
2019-02-20,115.9639,116.6121,115.7551,116.288,6089752
2019-02-21,115.1196,115.8083,114.513,115.4948,6665481
2019-02-22,115.384,116.5353,114.9831,116.5012,5223658
2019-02-25,117.0564,118.0351,116.6358,116.9277,6846581
2019-02-26,117.1337,117.5801,116.7989,116.8504,5106878
2019-02-27,116.3439,116.9706,116.2323,116.6444,4378066
2019-02-28,116.713,118.4342,116.4898,117.3054,10094537
2019-03-01,117.8033,118.9966,117.623,118.7734,5587180
2019-03-04,119.2027,119.6834,118.0523,118.885,8378056
2019-03-05,119.1683,119.4516,118.782,119.134,6568870
2019-03-06,119.735,119.8895,118.9881,119.4087,6236946
2019-03-07,118.928,119.4345,118.2154,118.679,6099500
2019-03-08,118.5502,119.589,117.1165,118.5245,7046830
2019-03-11,118.5674,119.3572,118.0609,118.9537,6149912
2019-03-12,119.031,120.19,118.9022,119.486,5552875
2019-03-13,119.838,120.0526,119.3486,119.6834,6438798
2019-03-14,118.7648,119.1598,118.4214,118.4901,8491944
2019-03-15,118.473,118.6962,117.4685,118.1296,11922855
2019-03-18,118.1725,118.2841,117.3741,117.7604,6995332
2019-03-19,118.1381,119.1769,118.018,118.8507,5882496
2019-03-20,118.7563,118.9108,117.314,117.8634,5475742
2019-03-21,117.6145,119.1426,117.5715,118.5588,5765119
2019-03-22,118.2583,118.8078,117.4943,117.5372,6528422
2019-03-25,117.5372,117.623,116.5327,117.2796,4500330
2019-03-26,117.5544,119.5633,117.5544,118.9623,4758646
2019-03-27,118.9795,119.7435,118.5331,119.0739,6764765
2019-03-28,119.383,119.7264,119.0825,119.2284,4601692
2019-03-29,119.5718,120.0869,119.2284,120.0097,7087218
2019-04-01,120.1814,120.4389,119.104,119.3143,5885401
2019-04-02,119.34,119.34,117.5372,118.224,5517716
2019-04-03,118.6447,118.679,117.5029,117.7604,5945861
2019-04-04,117.5029,117.6187,116.0091,116.3868,5844568
2019-04-05,116.7903,117.2539,116.4984,116.9105,4643241
2019-04-08,116.7989,117.1938,116.4984,116.8761,4329988
2019-04-09,116.756,116.9792,115.5197,116.3868,5210292
2019-04-10,116.6615,116.8676,116.1808,116.3954,4194170
2019-04-11,116.7216,116.9105,115.3995,116.0777,4485211
2019-04-12,116.0863,117.0564,115.6828,116.7388,5704494
2019-04-15,116.756,117.4342,116.5843,117.2024,5038600
2019-04-16,118.7477,120.7909,118.0952,118.4901,10745704
2019-04-17,119.3315,120.3151,118.1897,118.9194,9477837
2019-04-18,119.6319,120.396,116.5413,118.0609,10485289
2019-04-22,117.5973,118.8936,117.1487,118.327,4666537
2019-04-23,117.975,120.9197,117.8291,120.1041,5790432
2019-04-24,119.8895,120.3101,119.2119,119.5032,5667233
2019-04-25,118.9194,119.9925,118.4386,119.8895,5218088
2019-04-26,120.0869,120.6398,119.5976,120.5248,4613583
2019-04-29,120.4904,120.5591,119.8294,120.0526,4275158
2019-04-30,120.3531,121.4348,119.297,121.2202,6003702
2019-05-01,121.0055,122.2074,119.9753,121.864,6656335
2019-05-02,121.8297,122.0357,120.293,121.2888,8835587
2019-05-03,121.2974,121.9842,121.1171,121.9155,5213043
2019-05-06,120.4046,122.113,120.1299,121.9842,5818880
2019-05-07,120.8939,121.3747,119.383,120.1642,6606634
2019-05-08,120.3617,120.9798,119.9324,120.0097,4666957
2019-05-09,119.2885,119.6062,118.1639,119.0997,5604201
2019-05-10,118.8421,119.5461,117.1079,119.3744,4771623
2019-05-13,118.3442,118.5245,117.2111,117.7862,5560421
2019-05-14,117.6488,118.3356,117.3827,117.4599,6021334
2019-05-15,117.5286,118.0351,116.1808,117.5372,6429257
2019-05-16,117.9493,119.4971,117.5887,118.6532,6856035
2019-05-17,117.6145,119.3572,117.4943,118.9966,6915286
2019-05-20,118.9966,119.2971,118.1982,118.8335,4771127
2019-05-21,119.4345,119.8208,118.5416,118.576,4859048
2019-05-22,118.7734,119.2885,118.0308,119.1254,5456839
2019-05-23,118.9022,120.0612,118.1897,120.0097,6950887
2019-05-24,120.5801,120.5801,119.7676,120.0183,5473499
2019-05-28,120.1479,121.4358,118.4192,118.4797,11919579
2019-05-29,117.4597,117.4597,111.0893,113.5182,23247405
2019-05-30,113.6132,114.8061,113.3799,114.1924,7360838
2019-05-31,113.6824,114.0973,112.0314,113.3626,7810337
2019-06-03,113.6651,114.443,113.2675,113.6132,8434615
2019-06-04,114.6159,116.0854,114.5986,115.5927,6648900
2019-06-05,116.4311,116.8028,115.705,116.1545,6860551
2019-06-06,116.604,118.9897,116.336,118.1426,9115122
2019-06-07,118.9291,120.6579,118.5402,119.7589,6533915
2019-06-10,119.8022,120.2776,118.9378,120.1652,4994663
2019-06-11,120.7357,121.5828,120.5801,120.8221,8230527
2019-06-12,121.2716,123.5276,121.2716,122.4644,9216486
2019-06-13,122.499,122.6978,121.1938,121.626,7500227
